Offset-Description                                                                   
0000 - String            20C3A040 : DCH_EVO1           20BFCC40 : FIA_COU            
1C10 - Float             20C3BC50 : 0.4196520746       20BFE850 : 0.3088666499       
1C14 - Double            20C3BC54 : 1.33973336222475   20BFE854 : 0.0224052108593297 
1C1C - Double            20C3BC5C : 1228.7998046875    20BFE85C : 143.359985351563   
1C24 - Double            20C3BC64 : 0.639999985098839  20BFE864 : 0.0849999933619983 
1C2C - 4 Bytes           20C3BC6C : 0                  20BFE86C : 0                  
1C30 - Pointer           20C3BC70 : P->3E2EEEEF        20BFE870 : P->BDDD4F7B        
1C34 - Pointer           20C3BC74 : P->3EAF6ABC        20BFE874 : P->3E83126F        
1C38 - 4 Bytes           20C3BC78 : 0                  20BFE878 : 0                  
1C3C - Double            20C3BC7C : -4                 20BFE87C : -0.430000066757202 
1C44 - Double            20C3BC84 : -0.002499999478459320BFE884 : -0.000332031166180968
1C4C - Double            20C3BC8C : 4                  20BFE88C : 0.430000066757202  
1C54 - Double            20C3BC94 : 0.0024999999417923420BFE894 : 0.000332031224070306
1C5C - Double            20C3BC9C : -2048              20BFE89C : -0.0078125         
1C64 - Pointer           20C3BCA4 : P->3D8C17C1        20BFE8A4 : P->3DA2EA0C        
1C68 - Double            20C3BCA8 : 0.0078125          20BFE8A8 : 0.0078125          
1C70 - Float             20C3BCB0 : 1                  20BFE8B0 : 1                  
1C74 - Float             20C3BCB4 : 1                  20BFE8B4 : 1                  
1C78 - 4 Bytes           20C3BCB8 : 0                  20BFE8B8 : 0                  
1C7C - 4 Bytes           20C3BCBC : 0                  20BFE8BC : 0                  
1C80 - 4 Bytes           20C3BCC0 : 0                  20BFE8C0 : 0                  
1C84 - 4 Bytes           20C3BCC4 : 0                  20BFE8C4 : 0                  
1C88 - 4 Bytes           20C3BCC8 : 1058642330         20BFE8C8 : 0                  
1C8C - 4 Bytes           20C3BCCC : 0                  20BFE8CC : 0                  
1C90 - 4 Bytes           20C3BCD0 : 1118568448         20BFE8D0 : 0                  
1C94 - Pointer           20C3BCD4 : P->3D851EB8        20BFE8D4 : P->3D7DF3B6        
1C98 - Pointer           20C3BCD8 : P->3DCCCCCD        20BFE8D8 : P->3DCCCCCD        
1C9C - Float             20C3BCDC : -0.200000003       20BFE8DC : -0.200000003       
1CA0 - Float             20C3BCE0 : -3.666666746       20BFE8E0 : -3                 
1CA4 - Byte              20C3BCE4 : 246                20BFE8E4 : 191                
1CA5 - Byte              20C3BCE5 : 22                 20BFE8E5 : 237                
1CA6 - Byte              20C3BCE6 : 29                 20BFE8E6 : 111                
1CA7 - Byte              20C3BCE7 : 62                 20BFE8E7 : 62                 
1CA8 - Double            20C3BCE8 : 0.0078125          20BFE8E8 : 0.0078125          
1CB0 - Float             20C3BCF0 : 1                  20BFE8F0 : 1                  
1CB4 - Float             20C3BCF4 : 1                  20BFE8F4 : 1                  
1CB8 - 4 Bytes           20C3BCF8 : 0                  20BFE8F8 : 0                  
1CBC - 4 Bytes           20C3BCFC : 0                  20BFE8FC : 0                  
1CC0 - 4 Bytes           20C3BD00 : 0                  20BFE900 : 0                  
1CC4 - Double            20C3BD04 : 0.125              20BFE904 : 0.000030517578125  
1CCC - 4 Bytes           20C3BD0C : 1065353216         20BFE90C : 0                  
1CD0 - Float             20C3BD10 : 172                20BFE910 : 39                 
1CD4 - Pointer           20C3BD14 : P->3D851EB8        20BFE914 : P->3D7DF3B6        
1CD8 - Pointer           20C3BD18 : P->3DA3D70A        20BFE918 : P->3DA3D70A        
1CDC - Float             20C3BD1C : -0.1599999964      20BFE91C : -0.1599999964      
1CE0 - Pointer           20C3BD20 : P->4130C531        20BFE920 : P->407CC72D        
1CE4 - Pointer           20C3BD24 : P->3DCCCCCD        20BFE924 : P->3DCCCCCD        
1CE8 - Pointer           20C3BD28 : P->3EB33333        20BFE928 : P->3EB33333        
1CEC - Float             20C3BD2C : 0.1841000021       20BFE92C : 0.1300999969       
1CF0 - Float             20C3BD30 : 6.093903065        20BFE930 : 5.458906651        
1CF4 - Pointer           20C3BD34 : P->40E54174        20BFE934 : P->4082D854        
1CF8 - Float             20C3BD38 : 0.25               20BFE938 : 0.25               
1CFC - Pointer           20C3BD3C : P->3EB33333        20BFE93C : P->3EB33333        
1D00 - Float             20C3BD40 : 0.1967999935       20BFE940 : 0.1351000071       
1D04 - Float             20C3BD44 : 11.41682148        20BFE944 : 1.964079976        
1D08 - Float             20C3BD48 : 2                  20BFE948 : 2                  
1D0C - Double            20C3BD4C : 0.0002929687618006920BFE94C : 0.000292968761414159
1D14 - Double            20C3BD54 : 3.44000053408695   20BFE954 : 3.4400005340874    
1D1C - Double            20C3BD5C : 0.0002929687618416220BFE95C : 0.000292968761414159
1D24 - 4 Bytes (Hex)     20C3BD64 : 00010201           20BFE964 : 00010601           
1D28 - Float             20C3BD68 : 800                20BFE968 : 800                
1D2C - Float             20C3BD6C : 650                20BFE96C : 350                
1D30 - 4 Bytes           20C3BD70 : 0                  20BFE970 : 0                  
1D34 - Float             20C3BD74 : 0.009999999776     20BFE974 : 0.009999999776     
1D38 - Pointer           20C3BD78 : P->400037B5        20BFE978 : P->3F918E22        
1D3C - Double            20C3BD7C : 0.000030517578125  20BFE97C : 0.000030517578125  
1D44 - Float             20C3BD84 : 1                  20BFE984 : 1                  
1D48 - Float             20C3BD88 : 1                  20BFE988 : 1                  
1D4C - Float             20C3BD8C : 1                  20BFE98C : 1                  
1D50 - Float             20C3BD90 : 1                  20BFE990 : 1                  
1D54 - Float             20C3BD94 : 1                  20BFE994 : 1                  
1D58 - Float             20C3BD98 : 1                  20BFE998 : 1                  
1D5C - Float             20C3BD9C : 1                  20BFE99C : 1                  
1D60 - Float             20C3BDA0 : 1                  20BFE9A0 : 1                  
1D64 - 4 Bytes           20C3BDA4 : 2                  20BFE9A4 : 1                  
1D68 - 4 Bytes           20C3BDA8 : 0                  20BFE9A8 : 0                  
1D6C - 4 Bytes           20C3BDAC : 0                  20BFE9AC : 0                  
1D70 - Double            20C3BDB0 : 151.0400390625     20BFE9B0 : 852.992187500001   
1D78 - Double            20C3BDB8 : 0.0078125017503043620BFE9B8 : 0.00273437469251803
1D80 - Float             20C3BDC0 : -3.826999903       20BFE9C0 : -3.38499999        
1D84 - Float             20C3BDC4 : 3.826999903        20BFE9C4 : 3.38499999         
1D88 - Float             20C3BDC8 : 2.359999895        20BFE9C8 : 2.055000067        
1D8C - Float             20C3BDCC : 1.684999943        20BFE9CC : 1.332999945        
1D90 - Float             20C3BDD0 : 1.312000036        20BFE9D0 : 1.036999941        
1D94 - Pointer           20C3BDD4 : P->3F800000        20BFE9D4 : P->3F656042        
1D98 - 4 Bytes           20C3BDD8 : 1061880332         20BFE9D8 : 0                  
1D9C - 4 Bytes           20C3BDDC : 0                  20BFE9DC : 0                  
1DA0 - 4 Bytes           20C3BDE0 : 0                  20BFE9E0 : 0                  
1DA4 - Pointer           20C3BDE4 : P->3C23D70A        20BFE9E4 : P->3C23D70A        
1DA8 - Pointer           20C3BDE8 : P->3C23D70A        20BFE9E8 : P->3C23D70A        
1DAC - Pointer           20C3BDEC : P->3C0B4396        20BFE9EC : P->3C0B4396        
1DB0 - Float             20C3BDF0 : 0.007000000216     20BFE9F0 : 0.007000000216     
1DB4 - Float             20C3BDF4 : 0.00549999997      20BFE9F4 : 0.00549999997      
1DB8 - Float             20C3BDF8 : 0.00400000019      20BFE9F8 : 0.00400000019      
1DBC - Float             20C3BDFC : 0.002499999944     20BFE9FC : 0.002499999944     
1DC0 - Pointer           20C3BE00 : P->3C23D70A        20BFEA00 : P->3C23D70A        
1DC4 - Float             20C3BE04 : 0.001000000047     20BFEA04 : 0.001000000047     
1DC8 - Float             20C3BE08 : 1                  20BFEA08 : 1                  
1DCC - Double            20C3BE0C : 0.0078125018480932320BFEA0C : 0.00656250211584847
1DD4 - Double            20C3BE14 : 0.0078125018480932320BFEA14 : 0.00656250211584847
1DDC - Double            20C3BE1C : 0.0078125018480932320BFEA1C : 0.00656250211584847
1DE4 - Double            20C3BE24 : 0.0078125018480932320BFEA24 : 0.00656250211584847
1DEC - Double            20C3BE2C : 1.34110482247207E-820BFEA2C : 0.000878906458274287
1DF4 - Double            20C3BE34 : 1.34110482247207E-820BFEA34 : 0.000878906458274287
1DFC - Double            20C3BE3C : 1.34110482247207E-820BFEA3C : 0.000878906458274287
1E04 - Double            20C3BE44 : 1.34110482247207E-820BFEA44 : 0.000878906458274287
1E0C - Pointer           20C3BE4C : P->3E4CCCCD        20BFEA4C : P->3F4CCCCD        
1E10 - Pointer           20C3BE50 : P->3C23D70A        20BFEA50 : P->3C23D70A        
1E14 - Float             20C3BE54 : 1136               20BFEA54 : 499                
1E18 - Double            20C3BE58 : 0.153000027018716  20BFEA58 : 0.0250000096857548 
1E20 - Pointer           20C3BE60 : P->3FD58106        20BFEA60 : P->3F99999A        
1E24 - 4 Bytes           20C3BE64 : 0                  20BFEA64 : 0                  
1E28 - 4 Bytes           20C3BE68 : 0                  20BFEA68 : 0                  
1E2C - Pointer           20C3BE6C : P->3C23D70A        20BFEA6C : P->3C23D70A        
1E30 - Float             20C3BE70 : 54.12755203        20BFEA70 : -108.2551041       
1E34 - Float             20C3BE74 : 108.2551041        20BFEA74 : -108.2551041       
1E38 - Float             20C3BE78 : 0.002000000095     20BFEA78 : 0.002000000095     
1E3C - Float             20C3BE7C : 0.3300000131       20BFEA7C : 0.3799999952       
1E40 - Float             20C3BE80 : 0.75               20BFEA80 : 0.75               
1E44 - Float             20C3BE84 : 0.75               20BFEA84 : 0.75               
1E48 - 4 Bytes           20C3BE88 : 0                  20BFEA88 : 0                  
1E4C - 4 Bytes           20C3BE8C : 0                  20BFEA8C : 0                  
1E50 - 4 Bytes           20C3BE90 : 0                  20BFEA90 : 0                  
1E54 - Pointer           20C3BE94 : P->3D851EB8        20BFEA94 : P->3D7DF3B6        
1E58 - Float             20C3BE98 : 800                20BFEA98 : 800                
1E5C - String            20C3BE9C : fff?               20BFEA9C : fff?               
1E61 - Byte              20C3BEA1 : 0                  20BFEAA1 : 0                  
1E62 - Byte              20C3BEA2 : 128                20BFEAA2 : 128                
1E63 - Byte              20C3BEA3 : 63                 20BFEAA3 : 63                 
1E64 - Float             20C3BEA4 : 1                  20BFEAA4 : 1                  
1E68 - Double            20C3BEA8 : 4.56000233689882   20BFEAA8 : 4.56000233689882   
1E70 - Float             20C3BEB0 : 12                 20BFEAB0 : 9                  
1E74 - Float             20C3BEB4 : 36                 20BFEAB4 : 36                 
1E78 - 4 Bytes           20C3BEB8 : 0                  20BFEAB8 : 0                  
1E7C - 4 Bytes           20C3BEBC : 0                  20BFEABC : 0                  
1E80 - String            20C3BEC0 : RIV_1              20BFEAC0 : FIA_TCR            
1E88 - 4 Bytes           20C3BEC8 : 0                  20BFEAC8 : 982                
1E8C - Float             20C3BECC : 0                  20BFEACC : 108                
1E90 - Float             20C3BED0 : 0                  20BFEAD0 : 8200               
1E94 - Float             20C3BED4 : 0                  20BFEAD4 : 13.19999981        
1E98 - Float             20C3BED8 : 0                  20BFEAD8 : 7000               
1E9C - Float             20C3BEDC : -3.826999903       20BFEADC : -3.38499999        
1EA0 - Float             20C3BEE0 : 3.826999903        20BFEAE0 : 3.38499999         
1EA4 - Float             20C3BEE4 : 2.359999895        20BFEAE4 : 2.055000067        
1EA8 - Float             20C3BEE8 : 1.684999943        20BFEAE8 : 1.332999945        
1EAC - Float             20C3BEEC : 1.312000036        20BFEAEC : 1.036999941        
1EB0 - Pointer           20C3BEF0 : P->3F800000        20BFEAF0 : P->3F656042        
1EB4 - 4 Bytes           20C3BEF4 : 1061880332         20BFEAF4 : 0                  
1EB8 - 4 Bytes           20C3BEF8 : 0                  20BFEAF8 : 0                  
1EBC - Double            20C3BEFC : 151.0400390625     20BFEAFC : 852.9921875        
1EC4 - 4 Bytes           20C3BF04 : 258                20BFEB04 : 1                  
1EC8 - 4 Bytes           20C3BF08 : 0                  20BFEB08 : 583                
1ECC - 4 Bytes           20C3BF0C : 4600               20BFEB0C : 3530               
1ED0 - 4 Bytes           20C3BF10 : 1360               20BFEB10 : 1300               
1ED4 - 4 Bytes           20C3BF14 : 1785               20BFEB14 : 1420               
1ED8 - 4 Bytes           20C3BF18 : 6                  20BFEB18 : 5                  
1EDC - 4 Bytes           20C3BF1C : 6500               20BFEB1C : 3000               
1EE0 - 4 Bytes           20C3BF20 : 2                  20BFEB20 : 0                  
1EE4 - 4 Bytes           20C3BF24 : 0                  20BFEB24 : 1                  
1EE8 - 4 Bytes           20C3BF28 : 0                  20BFEB28 : 0                  
1EEC - 4 Bytes           20C3BF2C : 1                  20BFEB2C : 0                  
1EF0 - 4 Bytes           20C3BF30 : 6                  20BFEB30 : 8191               
1EF4 - 4 Bytes (Hex)     20C3BF34 : FF041100           20BFEB34 : 03030B00           
1EF8 - String            20C3BF38 : RIVAL CAR 000      20BFEB38 : ABARTH 1000TCR         
1F10 - String            20C3BF50 : RIV_1              20BFEB50 : FIA_TCR            
1F19 - Byte              20C3BF59 : 0                  20BFEB59 : 0                  
1F1A - Byte              20C3BF5A : 0                  20BFEB5A : 0                  
1F1B - Byte              20C3BF5B : 0                  20BFEB5B : 0                  
1F1C - Float             20C3BF5C : 12800              20BFEB5C : 12800              
1F20 - Float             20C3BF60 : 12800              20BFEB60 : 12800              
1F24 - Float             20C3BF64 : 9500               20BFEB64 : 8500               
1F28 - Pointer           20C3BF68 : P->448D6CE9        20BFEB68 : P->43006148        
1F2C - Double            20C3BF6C : 2.14576771624079E-720BFEB6C : 5.4235863178998E-7 
1F34 - Double            20C3BF74 : 1.52587949280303E-620BFEB74 : 9.46972610227681E-6
1F3C - Byte              20C3BF7C : 113                20BFEB7C : 20                 
1F3D - Byte              20C3BF7D : 61                 20BFEB7D : 150                
1F3E - Byte              20C3BF7E : 234                20BFEB7E : 0                  
1F3F - Byte              20C3BF7F : 62                 20BFEB7F : 63                 
1F40 - Double            20C3BF80 : 0.0000976562876155620BFEB80 : 0.00010660158274145
1F48 - Byte              20C3BF88 : 123                20BFEB88 : 132                
1F49 - Byte              20C3BF89 : 20                 20BFEB89 : 71                 
1F4A - Byte              20C3BF8A : 46                 20BFEB8A : 39                 
1F4B - Byte              20C3BF8B : 63                 20BFEB8B : 63                 
1F4C - Float             20C3BF8C : 0.7599999905       20BFEB8C : 0.6877859831       
1F50 - Float             20C3BF90 : 0.8399999738       20BFEB90 : 0.741985023        
1F54 - Byte              20C3BF94 : 96                 20BFEB94 : 47                 
1F55 - Byte              20C3BF95 : 229                20BFEB95 : 78                 
1F56 - Byte              20C3BF96 : 104                20BFEB96 : 72                 
1F57 - Byte              20C3BF97 : 63                 20BFEB97 : 63                 
1F58 - Double            20C3BF98 : 0.0078125018476421220BFEB98 : 0.00240040616579873
1F60 - Byte              20C3BFA0 : 154                20BFEBA0 : 238                
1F61 - String            20C3BFA1 : ™y?Í               20BFEBA1 : %q?î               
1F65 - Byte              20C3BFA5 : 204                20BFEBA5 : 96                 
1F66 - Byte              20C3BFA6 : 108                20BFEBA6 : 120                
1F67 - Byte              20C3BFA7 : 63                 20BFEBA7 : 63                 
1F68 - Byte              20C3BFA8 : 41                 20BFEBA8 : 217                
1F69 - String            20C3BFA9 : \_?Ñ•P?š           20BFEBA9 : ?                
1F71 - Byte              20C3BFB1 : 233                20BFEBB1 : 96                 
1F72 - Byte              20C3BFB2 : 66                 20BFEBB2 : 120                
1F73 - Byte              20C3BFB3 : 63                 20BFEBB3 : 63                 
1F74 - Pointer           20C3BFB4 : P->3F392381        20BFEBB4 : P->3F6EFFA0        
1F78 - Pointer           20C3BFB8 : P->3F2D3C15        20BFEBB8 : P->3F6313F0        
1F7C - Pointer           20C3BFBC : P->3F22E59B        20BFEBBC : P->3F4DF8F4        
1F80 - 4 Bytes (Hex)     20C3BFC0 : 3F13BC2C           20BFEBC0 : 3F329D1F           
1F84 - 4 Bytes (Hex)     20C3BFC4 : 3F01D0FA           20BFEBC4 : 3F17414A           
1F88 - 4 Bytes (Hex)     20C3BFC8 : 3ED806D1           20BFEBC8 : 3EEA80F1           
1F8C - 4 Bytes (Hex)     20C3BFCC : 3EA70825           20BFEBCC : 3E886727           
1F90 - 4 Bytes (Hex)     20C3BFD0 : 3E487D2C           20BFEBD0 : 3DCE5CD5           
1F94 - 4 Bytes (Hex)     20C3BFD4 : 3DAE6C8F           20BFEBD4 : 00000000           
1F98 - 4 Bytes (Hex)     20C3BFD8 : 360637BD           20BFEBD8 : 00000000           
1F9C - 4 Bytes (Hex)     20C3BFDC : 360637BD           20BFEBDC : 00000000           
1FA0 - 4 Bytes (Hex)     20C3BFE0 : 360637BD           20BFEBE0 : 00000000           
1FA4 - 4 Bytes (Hex)     20C3BFE4 : 360637BD           20BFEBE4 : 00000000           
1FA8 - 4 Bytes (Hex)     20C3BFE8 : 360637BD           20BFEBE8 : 00000000           
1FAC - Double            20C3BFEC : 0.0027343747006671 20BFEBEC : 0.0027343747006671 
1FB4 - Float             20C3BFF4 : 1                  20BFEBF4 : 1                  
1FB8 - Pointer           20C3BFF8 : P->3E93C670        20BFEBF8 : P->3D8624DD        
1FBC - Double            20C3BFFC : 3.33333396911621   20BFEBFC : 5461.33203125      
1FC4 - Pointer           20C3C004 : P->40400000        20BFEC04 : P->00000000        
1FC8 - Float             20C3C008 : 1.805128217        20BFEC08 : 10                 
1FCC - Byte              20C3C00C : 174                20BFEC0C : 174                
1FCD - Byte              20C3C00D : 71                 20BFEC0D : 71                 
1FCE - Byte              20C3C00E : 97                 20BFEC0E : 97                 
1FCF - Byte              20C3C00F : 62                 20BFEC0F : 62                 
1FD0 - 4 Bytes           20C3C010 : 0                  20BFEC10 : 0                  
1FD4 - Float             20C3C014 : 10                 20BFEC14 : 10                 
1FD8 - 4 Bytes           20C3C018 : 3332               20BFEC18 : 2564               
1FDC - String            20C3C01C : RIV_1              20BFEC1C : FIA_TCR            
1FE5 - Byte              20C3C025 : 0                  20BFEC25 : 0                  
1FE6 - Byte              20C3C026 : 0                  20BFEC26 : 0                  
1FE7 - Byte              20C3C027 : 0                  20BFEC27 : 0                  
1FE8 - Float             20C3C028 : 12800              20BFEC28 : 12800              
1FEC - Float             20C3C02C : 12800              20BFEC2C : 12800              
1FF0 - Float             20C3C030 : 9500               20BFEC30 : 8500               
1FF4 - Pointer           20C3C034 : P->449B9167        20BFEC34 : P->4300A14E        
1FF8 - Double            20C3C038 : 2.14576771624079E-720BFEC38 : 5.4235863178998E-7 
2000 - Double            20C3C040 : 1.52587949280303E-620BFEC40 : 9.46972610227681E-6
2008 - Byte              20C3C048 : 113                20BFEC48 : 20                 
2009 - Byte              20C3C049 : 61                 20BFEC49 : 150                
200A - Byte              20C3C04A : 234                20BFEC4A : 0                  
200B - Byte              20C3C04B : 62                 20BFEC4B : 63                 
200C - Double            20C3C04C : 0.0000976562876155620BFEC4C : 0.00010660158274145
2014 - Byte              20C3C054 : 123                20BFEC54 : 132                
2015 - Byte              20C3C055 : 20                 20BFEC55 : 71                 
2016 - Byte              20C3C056 : 46                 20BFEC56 : 39                 
2017 - Byte              20C3C057 : 63                 20BFEC57 : 63                 
2018 - Float             20C3C058 : 0.7599999905       20BFEC58 : 0.6877859831       
201C - Float             20C3C05C : 0.8399999738       20BFEC5C : 0.741985023        
2020 - Byte              20C3C060 : 96                 20BFEC60 : 47                 
2021 - Byte              20C3C061 : 229                20BFEC61 : 78                 
2022 - Byte              20C3C062 : 104                20BFEC62 : 72                 
2023 - Byte              20C3C063 : 63                 20BFEC63 : 63                 
2024 - Double            20C3C064 : 0.0078125018476421220BFEC64 : 0.00240040616579874
202C - Byte              20C3C06C : 154                20BFEC6C : 238                
202D - String            20C3C06D : ™y?Í               20BFEC6D : %q?î               
2031 - Byte              20C3C071 : 204                20BFEC71 : 96                 
2032 - Byte              20C3C072 : 108                20BFEC72 : 120                
2033 - Byte              20C3C073 : 63                 20BFEC73 : 63                 
2034 - Byte              20C3C074 : 41                 20BFEC74 : 217                
2035 - String            20C3C075 : \_?Ñ•P?š           20BFEC75 : ?                
203D - Byte              20C3C07D : 233                20BFEC7D : 96                 
203E - Byte              20C3C07E : 66                 20BFEC7E : 120                
203F - Byte              20C3C07F : 63                 20BFEC7F : 63                 
2040 - Pointer           20C3C080 : P->3F392381        20BFEC80 : P->3F6EFFA0        
2044 - Pointer           20C3C084 : P->3F2D3C15        20BFEC84 : P->3F6313F0        
2048 - Pointer           20C3C088 : P->3F22E59B        20BFEC88 : P->3F4DF8F4        
204C - 4 Bytes (Hex)     20C3C08C : 3F13BC2C           20BFEC8C : 3F329D1F           
2050 - 4 Bytes (Hex)     20C3C090 : 3F01D0FA           20BFEC90 : 3F17414A           
2054 - 4 Bytes (Hex)     20C3C094 : 3ED806D1           20BFEC94 : 3EEA80F1           
2058 - 4 Bytes (Hex)     20C3C098 : 3EA70825           20BFEC98 : 3E886727           
205C - 4 Bytes (Hex)     20C3C09C : 3E487D2C           20BFEC9C : 3DCE5CD5           
2060 - 4 Bytes (Hex)     20C3C0A0 : 3DAE6C8F           20BFECA0 : 00000000           
2064 - 4 Bytes (Hex)     20C3C0A4 : 360637BD           20BFECA4 : 00000000           
2068 - 4 Bytes (Hex)     20C3C0A8 : 360637BD           20BFECA8 : 00000000           
206C - 4 Bytes (Hex)     20C3C0AC : 360637BD           20BFECAC : 00000000           
2070 - 4 Bytes (Hex)     20C3C0B0 : 360637BD           20BFECB0 : 00000000           
2074 - 4 Bytes (Hex)     20C3C0B4 : 360637BD           20BFECB4 : 00000000           
2078 - Double            20C3C0B8 : 0.0027343747006671 20BFECB8 : 0.0027343747006671 
2080 - Float             20C3C0C0 : 1                  20BFECC0 : 1                  
2084 - Pointer           20C3C0C4 : P->3EA28D7C        20BFECC4 : P->3D8667C3        
2088 - Double            20C3C0C8 : 3.33333396911621   20BFECC8 : 2668.60546875      
2090 - Double            20C3C0D0 : 0.720512986648828  20BFECD0 : 0.000132427783682942
2098 - Byte              20C3C0D8 : 174                20BFECD8 : 174                
2099 - Byte              20C3C0D9 : 71                 20BFECD9 : 71                 
209A - Byte              20C3C0DA : 97                 20BFECDA : 97                 
209B - Byte              20C3C0DB : 62                 20BFECDB : 62                 
209C - 4 Bytes           20C3C0DC : 0                  20BFECDC : 0                  
20A0 - Float             20C3C0E0 : 10                 20BFECE0 : 10                 
20A4 - 4 Bytes           20C3C0E4 : 3332               20BFECE4 : 2564               
20A8 - String            20C3C0E8 : RIV_1              20BFECE8 : FIA_TCR            
20B1 - Byte              20C3C0F1 : 0                  20BFECF1 : 0                  
20B2 - Byte              20C3C0F2 : 0                  20BFECF2 : 0                  
20B3 - Byte              20C3C0F3 : 0                  20BFECF3 : 0                  
20B4 - Float             20C3C0F4 : 12800              20BFECF4 : 12800              
20B8 - Float             20C3C0F8 : 12800              20BFECF8 : 12800              
20BC - Float             20C3C0FC : 9500               20BFECFC : 8500               
20C0 - Pointer           20C3C100 : P->44A9B5E5        20BFED00 : P->4300E154        
20C4 - Double            20C3C104 : 2.14576771624079E-720BFED04 : 5.4235863178998E-7 
20CC - Double            20C3C10C : 1.52587949280303E-620BFED0C : 9.46972610227681E-6
20D4 - Byte              20C3C114 : 113                20BFED14 : 20                 
20D5 - Byte              20C3C115 : 61                 20BFED15 : 150                
20D6 - Byte              20C3C116 : 234                20BFED16 : 0                  
20D7 - Byte              20C3C117 : 62                 20BFED17 : 63                 
20D8 - Double            20C3C118 : 0.0000976562876155620BFED18 : 0.00010660158274145
20E0 - Byte              20C3C120 : 123                20BFED20 : 132                
20E1 - Byte              20C3C121 : 20                 20BFED21 : 71                 
20E2 - Byte              20C3C122 : 46                 20BFED22 : 39                 
20E3 - Byte              20C3C123 : 63                 20BFED23 : 63                 
20E4 - Float             20C3C124 : 0.7599999905       20BFED24 : 0.6877859831       
20E8 - Float             20C3C128 : 0.8399999738       20BFED28 : 0.741985023        
20EC - Byte              20C3C12C : 96                 20BFED2C : 47                 
20ED - Byte              20C3C12D : 229                20BFED2D : 78                 
20EE - Byte              20C3C12E : 104                20BFED2E : 72                 
20EF - Byte              20C3C12F : 63                 20BFED2F : 63                 
20F0 - Double            20C3C130 : 0.0078125018476421220BFED30 : 0.00240040616579873
20F8 - Byte              20C3C138 : 154                20BFED38 : 238                
20F9 - String            20C3C139 : ™y?Í               20BFED39 : %q?î               
20FD - Byte              20C3C13D : 204                20BFED3D : 96                 
20FE - Byte              20C3C13E : 108                20BFED3E : 120                
20FF - Byte              20C3C13F : 63                 20BFED3F : 63                 
2100 - Byte              20C3C140 : 41                 20BFED40 : 217                
2101 - String            20C3C141 : \_?Ñ•P?š           20BFED41 : ?                
2109 - Byte              20C3C149 : 233                20BFED49 : 96                 
210A - Byte              20C3C14A : 66                 20BFED4A : 120                
210B - Byte              20C3C14B : 63                 20BFED4B : 63                 
210C - Pointer           20C3C14C : P->3F392381        20BFED4C : P->3F6EFFA0        
2110 - Pointer           20C3C150 : P->3F2D3C15        20BFED50 : P->3F6313F0        
2114 - Pointer           20C3C154 : P->3F22E59B        20BFED54 : P->3F4DF8F4        
2118 - 4 Bytes (Hex)     20C3C158 : 3F13BC2C           20BFED58 : 3F329D1F           
211C - 4 Bytes (Hex)     20C3C15C : 3F01D0FA           20BFED5C : 3F17414A           
2120 - 4 Bytes (Hex)     20C3C160 : 3ED806D1           20BFED60 : 3EEA80F1           
2124 - 4 Bytes (Hex)     20C3C164 : 3EA70825           20BFED64 : 3E886727           
2128 - 4 Bytes (Hex)     20C3C168 : 3E487D2C           20BFED68 : 3DCE5CD5           
212C - 4 Bytes (Hex)     20C3C16C : 3DAE6C8F           20BFED6C : 00000000           
2130 - 4 Bytes (Hex)     20C3C170 : 360637BD           20BFED70 : 00000000           
2134 - 4 Bytes (Hex)     20C3C174 : 360637BD           20BFED74 : 00000000           
2138 - 4 Bytes (Hex)     20C3C178 : 360637BD           20BFED78 : 00000000           
213C - 4 Bytes (Hex)     20C3C17C : 360637BD           20BFED7C : 00000000           
2140 - 4 Bytes (Hex)     20C3C180 : 360637BD           20BFED80 : 00000000           
2144 - Double            20C3C184 : 0.0027343747006671 20BFED84 : 0.0027343747006671 
214C - Float             20C3C18C : 1                  20BFED8C : 1                  
2150 - Pointer           20C3C190 : P->3EB15486        20BFED90 : P->3D86AAAA        
2154 - Double            20C3C194 : 3.33333396911621   20BFED94 : 1479.111328125     
215C - Double            20C3C19C : 0.720512986648828  20BFED9C : 0.000336371595039964
2164 - Byte              20C3C1A4 : 174                20BFEDA4 : 174                
2165 - Byte              20C3C1A5 : 71                 20BFEDA5 : 71                 
2166 - Byte              20C3C1A6 : 97                 20BFEDA6 : 97                 
2167 - Byte              20C3C1A7 : 62                 20BFEDA7 : 62                 
2168 - 4 Bytes           20C3C1A8 : 0                  20BFEDA8 : 0                  
216C - Float             20C3C1AC : 10                 20BFEDAC : 10                 
2170 - 4 Bytes           20C3C1B0 : 3332               20BFEDB0 : 2564               
2174 - String            20C3C1B4 : RIV_1              20BFEDB4 : FIA_TCR            
217D - Byte              20C3C1BD : 0                  20BFEDBD : 0                  
217E - Byte              20C3C1BE : 0                  20BFEDBE : 0                  
217F - Byte              20C3C1BF : 0                  20BFEDBF : 0                  
2180 - Float             20C3C1C0 : 12800              20BFEDC0 : 12800              
2184 - Float             20C3C1C4 : 12800              20BFEDC4 : 12800              
2188 - Float             20C3C1C8 : 9500               20BFEDC8 : 8500               
218C - Pointer           20C3C1CC : P->44B7DA63        20BFEDCC : P->4301215B        
2190 - Double            20C3C1D0 : 2.14576771624079E-720BFEDD0 : 5.4235863178998E-7 
2198 - Double            20C3C1D8 : 1.52587949280303E-620BFEDD8 : 9.46972610227681E-6
